xP,yP,thetaP,inputP,xE,yE,thetaE,inputE
-1.863338129,2.313855384,2.86453686,0.366362912,-7.806890907,3.979465658,2.861113192,0.163349433
-1.940294489,2.335712218,2.865190856,-0.350013001,-7.845328814,3.990534861,2.861292893,-0.154364364
-2.017251148,2.357567999,2.864564221,0.334347114,-7.883766775,4.00160388,2.86112271,0.145855179
-2.094207522,2.379424788,2.865164659,-0.319336159,-7.922204685,4.012673074,2.861283828,-0.137799275
-2.171164171,2.401280606,2.86458944,0.3049557,-7.960642643,4.023742102,2.861131338,0.130174769
-2.248120556,2.423137355,2.865140493,-0.2911794,-7.999080555,4.034811288,2.861275622,-0.122960525
-2.325077196,2.444993208,2.864612717,0.277985009,-8.037518511,4.045880324,2.861139135,0.11613616
-2.402033593,2.46684992,2.865118173,-0.265348617,-8.075956426,4.056949502,2.861268217,-0.109682063
-2.478990224,2.488705805,2.864634218,0.253249755,-8.114394379,4.068018546,2.861146164,0.103579395
-2.55594663,2.510562483,2.865097549,-0.241666477,-8.152832296,4.079087717,2.86126155,-0.097810092
-2.632903254,2.532418397,2.86465408,0.230579756,-8.191270248,4.090156767,2.861152485,0.09235686
-2.709859669,2.554275044,2.865078503,-0.219969203,-8.229708167,4.101225932,2.861255559,-0.087203168
-2.786816285,2.576130986,2.864672411,0.20981691,-8.268146117,4.112294988,2.86115816,0.082333229
-2.86377271,2.597987604,2.865060942,-0.200103623,-8.306584037,4.123364147,2.861250185,-0.077731993
-2.940729318,2.619843572,2.864689285,0.190812183,-8.345021985,4.134433208,2.861163248,0.073385118
-3.017685751,2.641700161,2.86504481,-0.181924052,-8.383459907,4.145502362,2.861245371,-0.069278958
-3.094642353,2.663556155,2.864704745,0.173422439,-8.421897854,4.156571428,2.861167802,0.065400537
-3.171598793,2.685412716,2.865030077,-0.165289163,-8.460335777,4.167640578,2.861241063,-0.061737524
-3.248555388,2.707268736,2.864718812,0.157507545,-8.498773723,4.178709649,2.861171876,0.058278211
-3.325511837,2.72912527,2.865016728,-0.150059643,-8.537211647,4.189778793,2.861237211,-0.055011488
